ml_type,judge,class,description,date_time,serial,stage,parameter,csv_file,image_file
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 08:18:00,2,2,1,serial_02_stage_2_param_1_NG.csv,serial_02_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 08:19:00,2,2,2,serial_02_stage_2_param_2_OK.csv,serial_02_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 08:20:00,2,2,2,serial_02_stage_2_param_2_NG.csv,serial_02_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 08:21:00,2,3,1,serial_02_stage_3_param_1_OK.csv,serial_02_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 08:22:00,2,3,1,serial_02_stage_3_param_1_NG.csv,serial_02_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 08:23:00,2,3,2,serial_02_stage_3_param_2_OK.csv,serial_02_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:24:00,2,3,2,serial_02_stage_3_param_2_NG.csv,serial_02_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 08:25:00,3,1,1,serial_03_stage_1_param_1_OK.csv,serial_03_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:26:00,3,1,1,serial_03_stage_1_param_1_NG.csv,serial_03_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 08:27:00,3,1,2,serial_03_stage_1_param_2_OK.csv,serial_03_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 08:28:00,3,1,2,serial_03_stage_1_param_2_NG.csv,serial_03_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 08:29:00,3,2,1,serial_03_stage_2_param_1_OK.csv,serial_03_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 08:30:00,3,2,1,serial_03_stage_2_param_1_NG.csv,serial_03_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 08:31:00,3,2,2,serial_03_stage_2_param_2_OK.csv,serial_03_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 08:32:00,3,2,2,serial_03_stage_2_param_2_NG.csv,serial_03_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 08:33:00,3,3,1,serial_03_stage_3_param_1_OK.csv,serial_03_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 08:34:00,3,3,1,serial_03_stage_3_param_1_NG.csv,serial_03_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 08:35:00,3,3,2,serial_03_stage_3_param_2_OK.csv,serial_03_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:36:00,3,3,2,serial_03_stage_3_param_2_NG.csv,serial_03_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 08:37:00,4,1,1,serial_04_stage_1_param_1_OK.csv,serial_04_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:38:00,4,1,1,serial_04_stage_1_param_1_NG.csv,serial_04_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 08:39:00,4,1,2,serial_04_stage_1_param_2_OK.csv,serial_04_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 08:40:00,4,1,2,serial_04_stage_1_param_2_NG.csv,serial_04_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 08:41:00,4,2,1,serial_04_stage_2_param_1_OK.csv,serial_04_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 08:42:00,4,2,1,serial_04_stage_2_param_1_NG.csv,serial_04_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 08:43:00,4,2,2,serial_04_stage_2_param_2_OK.csv,serial_04_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 08:44:00,4,2,2,serial_04_stage_2_param_2_NG.csv,serial_04_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 08:45:00,4,3,1,serial_04_stage_3_param_1_OK.csv,serial_04_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 08:46:00,4,3,1,serial_04_stage_3_param_1_NG.csv,serial_04_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 08:47:00,4,3,2,serial_04_stage_3_param_2_OK.csv,serial_04_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:48:00,4,3,2,serial_04_stage_3_param_2_NG.csv,serial_04_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 08:49:00,5,1,1,serial_05_stage_1_param_1_OK.csv,serial_05_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:50:00,5,1,1,serial_05_stage_1_param_1_NG.csv,serial_05_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 08:51:00,5,1,2,serial_05_stage_1_param_2_OK.csv,serial_05_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 08:52:00,5,1,2,serial_05_stage_1_param_2_NG.csv,serial_05_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 08:53:00,5,2,1,serial_05_stage_2_param_1_OK.csv,serial_05_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 08:54:00,5,2,1,serial_05_stage_2_param_1_NG.csv,serial_05_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 08:55:00,5,2,2,serial_05_stage_2_param_2_OK.csv,serial_05_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 08:56:00,5,2,2,serial_05_stage_2_param_2_NG.csv,serial_05_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 08:57:00,5,3,1,serial_05_stage_3_param_1_OK.csv,serial_05_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 08:58:00,5,3,1,serial_05_stage_3_param_1_NG.csv,serial_05_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 08:59:00,5,3,2,serial_05_stage_3_param_2_OK.csv,serial_05_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:00:00,5,3,2,serial_05_stage_3_param_2_NG.csv,serial_05_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 09:01:00,6,1,1,serial_06_stage_1_param_1_OK.csv,serial_06_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:02:00,6,1,1,serial_06_stage_1_param_1_NG.csv,serial_06_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 09:03:00,6,1,2,serial_06_stage_1_param_2_OK.csv,serial_06_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 09:04:00,6,1,2,serial_06_stage_1_param_2_NG.csv,serial_06_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 09:05:00,6,2,1,serial_06_stage_2_param_1_OK.csv,serial_06_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 09:06:00,6,2,1,serial_06_stage_2_param_1_NG.csv,serial_06_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 09:07:00,6,2,2,serial_06_stage_2_param_2_OK.csv,serial_06_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 09:08:00,6,2,2,serial_06_stage_2_param_2_NG.csv,serial_06_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 09:09:00,6,3,1,serial_06_stage_3_param_1_OK.csv,serial_06_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 09:10:00,6,3,1,serial_06_stage_3_param_1_NG.csv,serial_06_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 09:11:00,6,3,2,serial_06_stage_3_param_2_OK.csv,serial_06_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:12:00,6,3,2,serial_06_stage_3_param_2_NG.csv,serial_06_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 09:13:00,7,1,1,serial_07_stage_1_param_1_OK.csv,serial_07_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:14:00,7,1,1,serial_07_stage_1_param_1_NG.csv,serial_07_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 09:15:00,7,1,2,serial_07_stage_1_param_2_OK.csv,serial_07_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 09:16:00,7,1,2,serial_07_stage_1_param_2_NG.csv,serial_07_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 09:17:00,7,2,1,serial_07_stage_2_param_1_OK.csv,serial_07_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 09:18:00,7,2,1,serial_07_stage_2_param_1_NG.csv,serial_07_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 09:19:00,7,2,2,serial_07_stage_2_param_2_OK.csv,serial_07_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 09:20:00,7,2,2,serial_07_stage_2_param_2_NG.csv,serial_07_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 09:21:00,7,3,1,serial_07_stage_3_param_1_OK.csv,serial_07_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 09:22:00,7,3,1,serial_07_stage_3_param_1_NG.csv,serial_07_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 09:23:00,7,3,2,serial_07_stage_3_param_2_OK.csv,serial_07_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:24:00,7,3,2,serial_07_stage_3_param_2_NG.csv,serial_07_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 09:25:00,8,1,1,serial_08_stage_1_param_1_OK.csv,serial_08_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:26:00,8,1,1,serial_08_stage_1_param_1_NG.csv,serial_08_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 09:27:00,8,1,2,serial_08_stage_1_param_2_OK.csv,serial_08_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 09:28:00,8,1,2,serial_08_stage_1_param_2_NG.csv,serial_08_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 09:29:00,8,2,1,serial_08_stage_2_param_1_OK.csv,serial_08_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 09:30:00,8,2,1,serial_08_stage_2_param_1_NG.csv,serial_08_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 09:31:00,8,2,2,serial_08_stage_2_param_2_OK.csv,serial_08_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 09:32:00,8,2,2,serial_08_stage_2_param_2_NG.csv,serial_08_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 09:33:00,8,3,1,serial_08_stage_3_param_1_OK.csv,serial_08_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 09:34:00,8,3,1,serial_08_stage_3_param_1_NG.csv,serial_08_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 09:35:00,8,3,2,serial_08_stage_3_param_2_OK.csv,serial_08_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:36:00,8,3,2,serial_08_stage_3_param_2_NG.csv,serial_08_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 09:37:00,9,1,1,serial_09_stage_1_param_1_OK.csv,serial_09_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:38:00,9,1,1,serial_09_stage_1_param_1_NG.csv,serial_09_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 09:39:00,9,1,2,serial_09_stage_1_param_2_OK.csv,serial_09_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 09:40:00,9,1,2,serial_09_stage_1_param_2_NG.csv,serial_09_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 09:41:00,9,2,1,serial_09_stage_2_param_1_OK.csv,serial_09_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 09:42:00,9,2,1,serial_09_stage_2_param_1_NG.csv,serial_09_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 09:43:00,9,2,2,serial_09_stage_2_param_2_OK.csv,serial_09_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 09:44:00,9,2,2,serial_09_stage_2_param_2_NG.csv,serial_09_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 09:45:00,9,3,1,serial_09_stage_3_param_1_OK.csv,serial_09_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 09:46:00,9,3,1,serial_09_stage_3_param_1_NG.csv,serial_09_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 09:47:00,9,3,2,serial_09_stage_3_param_2_OK.csv,serial_09_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:48:00,9,3,2,serial_09_stage_3_param_2_NG.csv,serial_09_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 09:49:00,10,1,1,serial_10_stage_1_param_1_OK.csv,serial_10_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 09:50:00,10,1,1,serial_10_stage_1_param_1_NG.csv,serial_10_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 09:51:00,10,1,2,serial_10_stage_1_param_2_OK.csv,serial_10_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 09:52:00,10,1,2,serial_10_stage_1_param_2_NG.csv,serial_10_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 09:53:00,10,2,1,serial_10_stage_2_param_1_OK.csv,serial_10_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 09:54:00,10,2,1,serial_10_stage_2_param_1_NG.csv,serial_10_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 09:55:00,10,2,2,serial_10_stage_2_param_2_OK.csv,serial_10_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 09:56:00,10,2,2,serial_10_stage_2_param_2_NG.csv,serial_10_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 09:57:00,10,3,1,serial_10_stage_3_param_1_OK.csv,serial_10_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 09:58:00,10,3,1,serial_10_stage_3_param_1_NG.csv,serial_10_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 09:59:00,10,3,2,serial_10_stage_3_param_2_OK.csv,serial_10_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:00:00,10,3,2,serial_10_stage_3_param_2_NG.csv,serial_10_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 10:01:00,11,1,1,serial_11_stage_1_param_1_OK.csv,serial_11_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:02:00,11,1,1,serial_11_stage_1_param_1_NG.csv,serial_11_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 10:03:00,11,1,2,serial_11_stage_1_param_2_OK.csv,serial_11_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 10:04:00,11,1,2,serial_11_stage_1_param_2_NG.csv,serial_11_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 10:05:00,11,2,1,serial_11_stage_2_param_1_OK.csv,serial_11_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 10:06:00,11,2,1,serial_11_stage_2_param_1_NG.csv,serial_11_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 10:07:00,11,2,2,serial_11_stage_2_param_2_OK.csv,serial_11_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 10:08:00,11,2,2,serial_11_stage_2_param_2_NG.csv,serial_11_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 10:09:00,11,3,1,serial_11_stage_3_param_1_OK.csv,serial_11_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 10:10:00,11,3,1,serial_11_stage_3_param_1_NG.csv,serial_11_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 10:11:00,11,3,2,serial_11_stage_3_param_2_OK.csv,serial_11_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:12:00,11,3,2,serial_11_stage_3_param_2_NG.csv,serial_11_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 10:13:00,12,1,1,serial_12_stage_1_param_1_OK.csv,serial_12_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:14:00,12,1,1,serial_12_stage_1_param_1_NG.csv,serial_12_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 10:15:00,12,1,2,serial_12_stage_1_param_2_OK.csv,serial_12_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 10:16:00,12,1,2,serial_12_stage_1_param_2_NG.csv,serial_12_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 10:17:00,12,2,1,serial_12_stage_2_param_1_OK.csv,serial_12_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 10:18:00,12,2,1,serial_12_stage_2_param_1_NG.csv,serial_12_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 10:19:00,12,2,2,serial_12_stage_2_param_2_OK.csv,serial_12_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 10:20:00,12,2,2,serial_12_stage_2_param_2_NG.csv,serial_12_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 10:21:00,12,3,1,serial_12_stage_3_param_1_OK.csv,serial_12_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 10:22:00,12,3,1,serial_12_stage_3_param_1_NG.csv,serial_12_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 10:23:00,12,3,2,serial_12_stage_3_param_2_OK.csv,serial_12_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:24:00,12,3,2,serial_12_stage_3_param_2_NG.csv,serial_12_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 10:25:00,13,1,1,serial_13_stage_1_param_1_OK.csv,serial_13_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 10:26:00,13,1,1,serial_13_stage_1_param_1_NG.csv,serial_13_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 10:27:00,13,1,2,serial_13_stage_1_param_2_OK.csv,serial_13_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 10:28:00,13,1,2,serial_13_stage_1_param_2_NG.csv,serial_13_stage_1_param_2_NG.jpg
